local_authority_code,local_authority_name,LSOACD,LSOANM,house_price_year_ending_dec_2016,house_price_year_ending_mar_2021
E09000021,Kingston upon Thames,E01002988,Kingston upon Thames 011C,537250,527500
E09000021,Kingston upon Thames,E01002990,Kingston upon Thames 009D,497500,472000
E09000026,Redbridge,E01003650,Redbridge 015B,459000,566750
E09000009,Ealing,E01001312,Ealing 002C,453750,525000
E09000021,Kingston upon Thames,E01002935,Kingston upon Thames 003A,422500,436250
E09000023,Lewisham,E01003340,Lewisham 006C,450000,415000
E09000024,Merton,E01003454,Merton 003B,516000,420000
E09000026,Redbridge,E01003696,Redbridge 035G,495000,525000
E09000031,Waltham Forest,E01004357,Waltham Forest 001E,533000,602500
E09000010,Enfield,E01001418,Enfield 011C,369250,650000
E09000022,Lambeth,E01003188,Lambeth 009E,500000,620000
E09000010,Enfield,E01001390,Enfield 036A,480000,680000
E09000019,Islington,E01002764,Islington 010A,426500,617750
E09000009,Ealing,E01001229,Ealing 031A,499950,450000
E09000018,Hounslow,E01002639,Hounslow 012B,,
E09000006,Bromley,E01000708,Bromley 041B,404500,520000
E09000006,Bromley,E01000786,Bromley 032A,445000,465500
E09000007,Camden,E01000889,Camden 007A,546000,
E09000007,Camden,E01000957,Camden 019C,558750,
E09000014,Haringey,E01001998,Haringey 023A,515000,530000
E09000015,Harrow,E01002124,Harrow 010A,,482000
E09000015,Harrow,E01002159,Harrow 021A,432500,545750
E09000015,Harrow,E01002182,Harrow 020D,362500,586500
E09000015,Harrow,E01002221,Harrow 030C,480000,500000
E09000017,Hillingdon,E01002467,Hillingdon 009B,475000,520000
E09000018,Hounslow,E01002621,Hounslow 011B,,
E09000018,Hounslow,E01002682,Hounslow 014D,382500,445000
E09000018,Hounslow,E01033081,Hounslow 003F,460000,411500
E09000022,Lambeth,E01003172,Lambeth 024B,482500,450000
E09000023,Lewisham,E01003218,Lewisham 022B,489950,605000
E09000024,Merton,E01003397,Merton 007D,542500,687000
E09000024,Merton,E01003437,Merton 022C,435000,510000
E09000028,Southwark,E01004028,Southwark 004E,442500,
E09000028,Southwark,E01004050,Southwark 024D,522000,475000
E09000029,Sutton,E01004097,Sutton 015A,450000,550000
E09000029,Sutton,E01004111,Sutton 016B,447500,495000
E09000029,Sutton,E01004135,Sutton 003D,442500,500000
E09000030,Tower Hamlets,E01032764,Tower Hamlets 004E,490000,437000
E09000031,Waltham Forest,E01004364,Waltham Forest 019B,383000,600000
E09000031,Waltham Forest,E01004468,Waltham Forest 015E,446000,572500
E09000032,Wandsworth,E01004526,Wandsworth 035B,485000,535000
E09000015,Harrow,E01002222,Harrow 030D,443750,472500
E09000026,Redbridge,E01003655,Redbridge 004B,486500,535000
E09000005,Brent,E01033485,Brent 031H,425000,557500
E09000007,Camden,E01000917,Camden 027C,415000,
E09000009,Ealing,E01001246,Ealing 015D,490000,
E09000003,Barnet,E01000304,Barnet 020E,495000,485500
E09000018,Hounslow,E01002583,Hounslow 013A,400000,485000
E09000027,Richmond upon Thames,E01003829,Richmond upon Thames 020B,450000,540000
E09000027,Richmond upon Thames,E01003907,Richmond upon Thames 010C,385000,507500
E09000005,Brent,E01000639,Brent 022C,535000,642000
E09000009,Ealing,E01001211,Ealing 013B,543000,453500
E09000012,Hackney,E01001830,Hackney 014C,490000,660000
E09000015,Harrow,E01002114,Harrow 001B,425000,560000
E09000023,Lewisham,E01003308,Lewisham 024B,426000,499999
E09000026,Redbridge,E01003777,Redbridge 014D,422500,665000
E09000030,Tower Hamlets,E01004311,Tower Hamlets 006A,513000,560000
E09000005,Brent,E01000573,Brent 007B,540000,568000
E09000028,Southwark,E01032639,Southwark 014F,476119,495000
E09000010,Enfield,E01001525,Enfield 020E,510000,520000
E09000014,Haringey,E01002051,Haringey 029B,410000,
E09000027,Richmond upon Thames,E01003834,Richmond upon Thames 022A,517500,555000
E09000021,Kingston upon Thames,E01002962,Kingston upon Thames 006C,535000,510000
E09000027,Richmond upon Thames,E01003840,Richmond upon Thames 013A,490000,425000
E09000003,Barnet,E01000158,Barnet 015A,730000,697500
E09000003,Barnet,E01000285,Barnet 004A,420250,545500
E09000029,Sutton,E01004100,Sutton 015D,440000,540000
E09000026,Redbridge,E01003669,Redbridge 007B,640000,475000
E09000003,Barnet,E01000241,Barnet 031C,390000,930000
E09000003,Barnet,E01000298,Barnet 023D,571250,495000
E09000005,Brent,E01000498,Brent 010B,485000,
E09000005,Brent,E01000620,Brent 020B,,
E09000005,Brent,E01000623,Brent 005C,563000,585000
E09000006,Bromley,E01000658,Bromley 042A,460000,480000
E09000006,Bromley,E01000697,Bromley 007F,392500,550000
E09000006,Bromley,E01000794,Bromley 035E,530000,680000
E09000007,Camden,E01000925,Camden 009D,632525,790250
E09000007,Camden,E01000954,Camden 022C,,
E09000008,Croydon,E01001103,Croydon 039A,510000,527500
E09000011,Greenwich,E01001595,Greenwich 012D,395000,560000
E09000011,Greenwich,E01001652,Greenwich 019D,400000,500000
E09000012,Hackney,E01001784,Hackney 027E,483000,
E09000013,Hammersmith and Fulham,E01001858,Hammersmith and Fulham 006A,566500,445000
E09000014,Haringey,E01002044,Haringey 027B,345000,502500
E09000016,Havering,E01002384,Havering 019D,471500,553500
E09000017,Hillingdon,E01002537,Hillingdon 009E,514950,525000
E09000019,Islington,E01002722,Islington 018A,592500,750000
E09000026,Redbridge,E01003644,Redbridge 017C,462500,493500
E09000028,Southwark,E01004022,Southwark 004C,378500,465000
E09000028,Southwark,E01004055,Southwark 001E,,565000
E09000031,Waltham Forest,E01004408,Waltham Forest 016B,460000,522500
E09000032,Wandsworth,E01004483,Wandsworth 026D,442500,425000
E09000033,Westminster,E01032512,Westminster 010F,450000,477500
E09000015,Harrow,E01002123,Harrow 007E,432500,515000
E09000031,Waltham Forest,E01004371,Waltham Forest 025A,610000,645000
E09000003,Barnet,E01000223,Barnet 039C,414000,517000
E09000008,Croydon,E01001142,Croydon 007D,352500,550000
E09000012,Hackney,E01001745,Hackney 016A,466000,572000
E09000026,Redbridge,E01003654,Redbridge 004A,382500,580000
E09000007,Camden,E01000902,Camden 012B,486000,402500
E09000017,Hillingdon,E01002436,Hillingdon 004B,475000,605500
E09000022,Lambeth,E01003108,Lambeth 002B,330000,372500
E09000014,Haringey,E01001974,Haringey 001C,390000,565000
E09000010,Enfield,E01001543,Enfield 009C,489000,560000
