listings_x,price_sum_x,price_mean_x,price_median,price_std_x,lq_x,uq_x,listings_y,price_sum_y,price_mean_y,price_std_y,lq_y,uq_y,change_listings,change_price_sum,change_price_mean,change_price_std,change_lq,change_uq,LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,latitude,longitude,geometry,medianincome,house_price_year_ending_dec_2016,house_price_year_ending_mar_2021,house_price_change_16to21,deprivation,gent
3,68,22.66666667,22,7.023769169,19,26,0,0,0,0,0,0,3,68,22.67,22,7.02,19,E01000067,Barking and Dagenham 011B,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,1969,1969,0,102.3,679,2.9,545776.0462,185225.402,POINT (545776.0462 185225.402),40710,420000,455000,35000,5,0.38
11,484,44,40,14.17039167,34.5,52.5,3,139,46.33333333,9.712534856,41,50.5,8,345,-2.33,30.29,-26.83,-16,E01000068,Barking and Dagenham 016E,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,1590,1575,15,46.8,462,3.4,544888.4493,184703.4195,POINT (544888.4493 184703.4195),42420,429000,461250,32250,4,0.43
5,214,42.8,30,25.40078739,26,58,0,0,0,0,0,0,5,214,42.8,30,25.4,26,E01000070,Barking and Dagenham 011D,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,1975,1975,0,50.4,598,3.3,545171.9091,184963.7166,POINT (545171.9091 184963.7166),41740,459250,535000,75750,5,0.41
10,556,55.6,50,22.08669786,42.25,61,3,202,67.33333333,27.06165799,56.5,82.5,7,354,-11.73,22.94,-34.41,-40.25,E01000071,Barking and Dagenham 011E,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,2253,2251,2,83.3,785,2.9,545711.0997,184409.7311,POINT (545711.0997 184409.7311),40490,437500,345000,-92500,5,0.46
3,230,76.66666667,100,44.8144322,62.5,102.5,1,29,29,0,29,29,2,201,47.67,100,15.81,33.5,E01000072,Barking and Dagenham 017E,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,1991,1991,0,38.3,784,2.5,546485.4044,184692.5334,POINT (546485.4044 184692.5334),31600,250000,302500,52500,2,0.46
4,190,47.5,40,27.23355773,28.75,58.75,1,38,38,0,38,38,3,152,9.5,40,-10.77,-9.25,E01000073,Barking and Dagenham 012B,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,1619,1619,0,56.9,627,2.6,546667.2523,185213.352,POINT (546667.2523000001 185213.352),34000,290000,315000,25000,2,0.48
2,114,57,57,11.3137085,53,61,0,0,0,0,0,0,2,114,57,57,11.31,53,E01000074,Barking and Dagenham 012C,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,1567,1567,0,95.4,629,2.5,547148.9511,185125.9759,POINT (547148.9510999999 185125.9759),33920,287500,328005,40505,2,0.45
4,337,84.25,81.5,54.37753825,44,121.75,1,151,151,0,151,151,3,186,-66.75,81.5,-96.62,-107,E01000076,Barking and Dagenham 012E,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,1988,1982,6,104.2,710,2.8,547127.7856,184611.8501,POINT (547127.7855999999 184611.8501),32930,278000,276750,-1250,2,0.44
4,206,51.5,40,38.41440702,27.5,64,1,32,32,0,32,32,3,174,19.5,40,6.41,-4.5,E01000079,Barking and Dagenham 009E,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,1546,1546,0,49.9,609,2.5,548374.2337,185223.8468,POINT (548374.2337 185223.8468),33180,280000,290000,10000,2,0.42
2,212,106,106,100.4091629,70.5,141.5,0,0,0,0,0,0,2,212,106,106,100.41,70.5,E01000080,Barking and Dagenham 007C,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,1556,1556,0,67.3,594,2.6,547915.6286,185396.2227,POINT (547915.6286000001 185396.2227),32920,279000,323750,44750,3,0.46
4,919,229.75,152,240.3766142,82.75,299,1,32,32,0,32,32,3,887,197.75,152,208.38,50.75,E01000081,Barking and Dagenham 007D,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,1688,1688,0,90.9,648,2.6,548369.9022,185647.3058,POINT (548369.9022 185647.3058),34050,305000,315500,10500,3,0.46
3,592,197.3333333,240,110.3690778,156,260,3,116,38.66666667,32.34707612,20,48.5,0,476,158.67,207.65,90.37,107.5,E01000083,Barking and Dagenham 007F,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,1700,1700,0,94.5,629,2.7,547656.6956,185994.8231,POINT (547656.6956 185994.8231),33650,290000,330000,40000,2,0.41
6,224,37.33333333,22,35.81433605,20,28.5,1,50,50,0,50,50,5,174,-12.67,22,-14.19,-30,E01000084,Barking and Dagenham 013D,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,1355,1355,0,90.3,517,2.6,548865.5214,184510.0842,POINT (548865.5214 184510.0842),34280,289000,318000,29000,2,0.47
2,86,43,43,18.38477631,36.5,49.5,0,0,0,0,0,0,2,86,43,43,18.38,36.5,E01000085,Barking and Dagenham 013E,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,1718,1711,7,118.2,640,2.7,549232.978,184301.3256,POINT (549232.978 184301.3256),32380,278000,310000,32000,2,0.47
4,278,69.5,44,57.36723804,37.25,76.25,1,202,202,0,202,202,3,76,-132.5,44,-144.63,-164.75,E01000088,Barking and Dagenham 020C,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,1828,1723,105,80.7,640,2.7,549602.3967,183862.4357,POINT (549602.3967 183862.4357),36490,262500,332500,70000,3,0.49
2,180,90,90,84.85281374,60,120,0,0,0,0,0,0,2,180,90,90,84.85,60,E01000089,Barking and Dagenham 020D,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,1666,1666,0,114.5,612,2.7,549950.142,183521.6815,POINT (549950.142 183521.6815),35620,275000,313000,38000,3,0.45
2,160,80,80,56.56854249,60,100,0,0,0,0,0,0,2,160,80,80,56.57,60,E01000090,Barking and Dagenham 020E,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,1584,1584,0,8.1,549,2.9,549579.6657,182456.6934,POINT (549579.6657 182456.6934),36330,300000,320000,20000,3,0.48
8,576,72,65,37.95862409,37.25,100,7,873,124.7142857,53.41883028,98,133,1,-297,-52.71,11.58,-60.04,-95.75,E01000091,Barking and Dagenham 022A,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,E12000007,London,1714,1714,0,69.6,633,2.7,546390.6157,183031.001,POINT (546390.6157 183031.001),31520,247500,347500,100000,2,0.44
28,2296,82,50,91.42047749,39.5,100,4,378,94.5,39.70306453,74,112,24,1918,-12.5,10.3,17.42,-72.5,E01000092,Barking and Dagenham 019E,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,2674,2674,0,10.1,975,2.7,546305.7833,182438.814,POINT (546305.7833 182438.814),35690,199495,325000,125505,2,0.46
4,370,92.5,72.5,71.00469468,42.5,122.5,0,0,0,0,0,0,4,370,92.5,72.5,71,42.5,E01000093,Barking and Dagenham 022B,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,E12000007,London,1547,1547,0,52.7,642,2.4,545950.5514,183247.9721,POINT (545950.5514 183247.9721),31770,195000,255000,60000,1,0.47
10,2622,262.2,62.5,611.334751,50,83.75,1,50,50,0,50,50,9,2572,212.2,62.5,561.33,0,E01000094,Barking and Dagenham 022C,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,E12000007,London,1326,1326,0,22,517,2.6,546863.4028,182638.3806,POINT (546863.4028 182638.3806),36430,210000,298000,88000,3,0.49
3,90,30,25,8.660254038,25,32.5,1,19,19,0,19,19,2,71,11,25,-10.34,6,E01000097,Barking and Dagenham 023C,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,E12000007,London,1683,1683,0,93.9,708,2.4,547674.0096,187131.2812,POINT (547674.0096 187131.2812),34570,300000,332000,32000,2,0.41
4,620,155,125,100.166528,107.5,172.5,2,253,126.5,0.707106781,126.25,126.75,2,367,28.5,124.29,-26.08,-19.25,E01000099,Barking and Dagenham 023E,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,E12000007,London,1732,1732,0,55.9,666,2.6,547984.0977,187064.298,POINT (547984.0977 187064.298),35500,250000,326250,76250,3,0.39
5,367,73.4,50,66.65433219,45,60,0,0,0,0,0,0,5,367,73.4,50,66.65,45,E01000102,Barking and Dagenham 007G,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,1540,1540,0,60.9,625,2.5,547980.2479,186407.9049,POINT (547980.2479 186407.9049),34720,297250,305000,7750,2,0.45
4,406,101.5,82.5,68.79195689,66.5,117.5,2,108,54,39.59797975,40,68,2,298,47.5,42.9,28.79,-1.5,E01000105,Barking and Dagenham 014C,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,E12000007,London,2129,2115,14,96.4,915,2.3,549443.9135,184521.2467,POINT (549443.9135 184521.2467),31560,271000,280000,9000,1,0.44
3,252,84,92,35.67912555,68.5,103.5,1,27,27,0,27,27,2,225,57,92,8.68,41.5,E01000106,Barking and Dagenham 014D,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,E12000007,London,1968,1968,0,89.7,916,2.1,549849.9801,184566.6103,POINT (549849.9801 184566.6103),32100,182500,360000,177500,2,0.48
4,230,57.5,31.5,55.05451843,29.25,59.75,4,124,31,12.72792206,25.75,33.25,0,106,26.5,18.77,29.3,-4,E01000107,Barking and Dagenham 010C,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,1666,1632,34,31.1,601,2.7,550958.4839,184860.6425,POINT (550958.4839 184860.6425),36300,307000,375000,68000,3,0.39
4,222,55.5,29.5,64.05466415,17.5,67.5,0,0,0,0,0,0,4,222,55.5,29.5,64.05,17.5,E01000108,Barking and Dagenham 010D,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,1558,1558,0,64.4,652,2.4,550371.0811,184885.6981,POINT (550371.0811 184885.6981),35930,294000,335000,41000,3,0.48
2,205,102.5,102.5,14.8492424,97.25,107.75,0,0,0,0,0,0,2,205,102.5,102.5,14.85,97.25,E01000109,Barking and Dagenham 004D,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,1686,1686,0,44.9,608,2.8,548487.4757,187207.5986,POINT (548487.4757 187207.5986),37700,345000,355000,10000,4,0.45
